Ticker,Company,Sector,Country,MarketCap,TotalDebt,Revenue,EBITDA
SHEL,Shell PLC,Energy,United Kingdom,215662100480.0,75645001728.0,267342004224.0,49131999232.0
BP,BP p.l.c.,Energy,United Kingdom,97582030848.0,74178002944.0,193004994560.0,34377998336.0
TTE.PA,TOTALENERGIES,Energy,France,154530152448.0,64250998784.0,183960993792.0,36652998656.0
ENI.MI,ENI,Energy,Italy,60840120320.0,36569001984.0,84479000576.0,12028000256.0
IBE.MC,ACCIONES IBERDROLA,Utilities,Spain,139386257408.0,59747000320.0,43510697984.0,13939550208.0
ENEL.MI,ENEL,Utilities,Italy,97912840192.0,70528999424.0,77908000768.0,20298999808.0
ENGI.PA,ENGIE,Utilities,France,67334762496.0,55187001344.0,71944003584.0,13011999744.0
RWE.DE,RWE AG                        I,Utilities,Germany,38903549952.0,24533999616.0,16264999936.0,1064000000.0
SIE.DE,SIEMENS AG                    N,Industrials,Germany,207008546816.0,54160998400.0,79699001344.0,11843999744.0
SU.PA,SCHNEIDER ELECTRIC SE,Industrials,France,157746544640.0,19908999168.0,40151998464.0,7927000064.0
SAF.PA,SAFRAN,Industrials,France,140486443008.0,5326000128.0,31189000192.0,5904999936.0
VOW3.DE,VOLKSWAGEN AG                 V,Consumer Cyclical,Germany,38108463104.0,279032987648.0,320011993088.0,21851000832.0
BMW.DE,BAYERISCHE MOTOREN WERKE AG   S,Consumer Cyclical,Germany,36974112768.0,112183001088.0,130702000128.0,14666999808.0
MBG.DE,Mercedes-Benz Group AG        N,Consumer Cyclical,Germany,42510245888.0,99530997760.0,130591997952.0,11079000064.0
VOLV-B.ST,"Volvo, AB ser. B",Industrials,Sweden,647044464640.0,257632993280.0,468155990016.0,53589000192.0
RR.L,ROLLS-ROYCE HOLDINGS PLC ORD SH,Industrials,United Kingdom,117622603776.0,4361999872.0,21206999040.0,4597000192.0
NESN.SW,NESTLE N,Consumer Defensive,Switzerland,213211299840.0,57851998208.0,89884999680.0,16652000256.0
ULVR.L,UNILEVER PLC ORD 3.5P,Consumer Defensive,United Kingdom,97852252160.0,28277999616.0,50503000064.0,10849000448.0
OR.PA,L'OREAL,Consumer Defensive,France,205852147712.0,11916000256.0,44052000768.0,9894500352.0
DGE.L,DIAGEO PLC ORD 28 101/108P,Consumer Defensive,United Kingdom,35132878848.0,24290000896.0,19804000256.0,6184999936.0
HEIA.AS,HEINEKEN,Consumer Defensive,Netherlands,41471782912.0,19278999552.0,28753000448.0,5519000064.0
ADS.DE,adidas AG                     N,Consumer Cyclical,Germany,31213412352.0,5952000000.0,25250000896.0,2469499904.0
PUM.DE,PUMA SE                       I,Consumer Cyclical,Germany,3924589568.0,2892300032.0,7170200064.0,9950000.0
EL.PA,ESSILORLUXOTTICA,Healthcare,France,77591699456.0,14398000128.0,28490999808.0,5569999872.0
KER.PA,KERING,Consumer Cyclical,France,32537044992.0,18563999744.0,14675000320.0,2543000064.0
ASML.AS,ASML HOLDING,Technology,Netherlands,598862004224.0,2705600000.0,33692700672.0,12704400384.0
SAP.DE,SAP SE                        I,Technology,Germany,157457006592.0,7862000128.0,37341999104.0,11603999744.0
NOKIA.HE,Nokia Corporation,Technology,Finland,68748902400.0,3324999936.0,19996000256.0,2536999936.0
ERIC-B.ST,"Ericsson, Telefonab. L M ser. B",Technology,Sweden,361499492352.0,39289999360.0,230988005376.0,35869999104.0
PRX.AS,PROSUS,Consumer Cyclical,Netherlands,81902551040.0,17816999936.0,6830000128.0,416000000.0
VNA.DE,Vonovia SE                    N,Real Estate,Germany,17638760448.0,41817198592.0,5940499968.0,2311099904.0
LEG.DE,LEG Immobilien SE             N,Real Estate,Germany,4113824000.0,9752500224.0,1472600064.0,501700000.0
